"","date","hits","keyword","geo","time","gprop","category"
"116",2018-12-09,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"117",2018-12-16,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"118",2018-12-23,37,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"119",2018-12-30,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"120",2019-01-06,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"121",2019-01-13,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"122",2019-01-20,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"123",2019-01-27,32,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"124",2019-02-03,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"125",2019-02-10,63,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"126",2019-02-17,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"127",2019-02-24,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"128",2019-03-03,65,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"129",2019-03-10,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"130",2019-03-17,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"131",2019-03-24,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"132",2019-03-31,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"133",2019-04-07,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"134",2019-04-14,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"135",2019-04-21,66,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"136",2019-04-28,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"137",2019-05-05,32,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"138",2019-05-12,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"139",2019-05-19,64,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"140",2019-05-26,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"141",2019-06-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"142",2019-06-09,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"143",2019-06-16,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"144",2019-06-23,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"145",2019-06-30,32,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"146",2019-07-07,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"147",2019-07-14,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"148",2019-07-21,100,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"149",2019-07-28,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"150",2019-08-04,66,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"151",2019-08-11,33,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"152",2019-08-18,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"153",2019-08-25,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"154",2019-09-01,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"155",2019-09-08,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"156",2019-09-15,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"157",2019-09-22,62,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"158",2019-09-29,31,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"159",2019-10-06,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"160",2019-10-13,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"161",2019-10-20,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"162",2019-10-27,30,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"163",2019-11-03,30,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"164",2019-11-10,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"165",2019-11-17,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
